district_a,district_b,score_a,score_b,score_gap,cluster_a,cluster_b,biggest_domain_gap,row_a,row_b
Kannur (Kerala),Agar Malwa (Madhya Pradesh),0.6228907645298017,0.6234978310036305,0.000607066473828799,3,4,0.72631752163604,283,296
Jhabua (Madhya Pradesh),South East (NCT Delhi),0.6311513208286917,0.6327976205307947,0.001646299702102949,4,2,0.7250553269182648,318,429
Jalgaon (Maharashtra),Hardoi (Uttar Pradesh),0.5246538949473816,0.5299301064663668,0.005276211518985274,7,6,0.7229288061311512,358,642
Kaushambi (Uttar Pradesh),Adilabad (Telangana),0.5641762441493862,0.5651792934410328,0.0010030492916466294,6,0,0.7226734568310345,651,557
Kozhikode (Kerala),Kandhamal (Odisha),0.6576581655154256,0.6581365535388186,0.0004783880233930615,3,4,0.7224088734928854,287,447
Chhota Udaipur (Gujarat),Kollam (Kerala),0.6207035388215992,0.6221299737357758,0.0014264349141765997,4,3,0.7211215753876664,147,285
Kandhamal (Odisha),Pulwama (Jammu Kashmir),0.6581365535388186,0.6592939526135492,0.0011573990747305585,4,5,0.72004756197008,447,217
Moga (Punjab),Dindori (Madhya Pradesh),0.5842512014457824,0.5881854868243642,0.00393428537858187,2,4,0.7196031790695124,479,312
Rupnagar (Punjab),Dhemaji (Assam),0.5994548640198827,0.6028882074374831,0.0034333434176003763,2,4,0.7177021650671173,483,44
Budaun (Uttar Pradesh),Prakasam (Andhra Pradesh),0.5260500529395137,0.5272415241679326,0.0011914712284188944,6,0,0.7172396007981325,624,9
Latehar (Jharkhand),Aizawl (Mizoram),0.5596472793810376,0.5626807887610773,0.003033509380039656,6,7,0.7156186314130513,239,402
Medchal-Malkajgiri (Telangana),Dindori (Madhya Pradesh),0.5867265015754589,0.5881854868243642,0.001458985248905309,2,4,0.7152634097586448,572,312
Medchal-Malkajgiri (Telangana),Gumla (Jharkhand),0.5867265015754589,0.5889571828866778,0.0022306813112188406,2,4,0.7125312036343228,572,234
Vidisha (Madhya Pradesh),Alappuzha (Kerala),0.6137415459848065,0.6160406437852519,0.00229909780044546,4,3,0.7120189899677054,345,280
