state,district,census_code,cluster,cluster_name,composite_score,composite_group,distance_to_centroid,domain_child_health_immunisation,domain_education,domain_energy,domain_maternal_health,domain_ncd,domain_nutrition,domain_population_household,domain_tobacco_alcohol,domain_wash,domain_women_empowerment
Assam,Bongaigaon,18020.0,7,"Middle development, weak women's agency",0.5717806394521604,2,4.327085436608516,-0.4286763579560392,-0.13708341148757192,-0.09313069604049265,-0.18591366928718694,0.42563414558363105,0.33369003168962,-0.04057018785218963,0.025944792293297436,0.10887984330175403,-0.6587341438395883
Assam,Cachar,18017.0,7,"Middle development, weak women's agency",0.517274294156777,1,7.607250332003226,-0.5200568184987052,-0.17305098325096516,-2.0818380919403845,-0.4934173105567651,0.37026499610592667,-0.32624870866128014,0.12625662125992926,-0.46032672754191395,-2.667365012772362,-0.5880602356129484
Assam,Charaideo,,7,"Middle development, weak women's agency",0.571223461969406,2,5.806600361115772,-0.4121283845066885,-0.4543774361445004,-1.1990967296125614,0.04695027852575987,0.19030045680054677,0.3530368712643915,0.24279584866981352,-1.7247700621284698,0.29634461729317246,0.07934207976902878
Assam,Chirang,18021.0,4,"Middle development, weak schooling",0.5718955218842484,2,5.2349730217521735,-0.12902302233854337,-0.4511503750728823,-0.10623772374227135,-0.19768329120703113,-0.006246299992295249,0.11183348828791216,0.1950323101194923,-0.7990499842778429,0.07455853063874157,-0.017372596662933625
Assam,Darrang,18026.0,7,"Middle development, weak women's agency",0.5314317022286554,1,6.642079311105406,-0.7175458205334002,-0.3160610143633259,-1.406840141934464,-0.3246387433634131,0.4231545715858632,0.08653128104908832,-0.38494350536667543,0.38584201451398903,0.2169048264853259,-1.0075926739353644
Assam,Dhemaji,18009.0,4,"Middle development, weak schooling",0.6028882074374831,4,7.016640371743574,0.4240272869133733,0.16362293608037853,-0.918537373996179,0.13342485124905445,0.24222875591320125,0.2954569942211271,0.1232666825506345,-2.5090268368846447,0.04892830529463474,-0.00330954847194348
Assam,Dhubri,18002.0,6,"Low development, weak clean energy and weak civil registration",0.5412058523242063,1,7.124625988043574,-0.41611857950895814,-0.5941186717789315,-0.825041913579009,-0.5438611243794665,0.4012823859840698,0.0888213649718877,-0.032336942788296796,-0.021635710998270608,-0.1824745744298532,-0.7004565338823372
Assam,Dibrugarh,18011.0,7,"Middle development, weak women's agency",0.5882560169811148,3,6.483603412480059,0.0565327537383209,-0.09072094408654563,-0.5127461266723468,0.2229290073510687,-0.15641798805872692,0.04929500106720754,0.27658225310044066,-1.8560395565751806,0.3795987841751766,0.1700661305817326
Assam,Dima Hasao,18016.0,7,"Middle development, weak women's agency",0.5589918485953556,2,7.925556302845477,-0.8081066809641891,0.5615687853383775,-0.25911392793438376,-0.042309857059920235,0.27020317420028145,0.5505950748359169,-0.09855452667841545,-1.9758511321146175,-1.7434060152508781,0.07656801358253965
Assam,Goalpara,18003.0,4,"Middle development, weak schooling",0.6050451423377915,4,5.804505096628379,-0.05574395769001047,-0.3630555088294273,-1.266398405283085,0.14228282307905396,0.4284260596104087,0.17209304043624743,0.34793567976427875,-0.2418283783421768,-0.07490718403493847,-0.19146416218558385
Assam,Golaghat,18014.0,7,"Middle development, weak women's agency",0.5800115265110577,3,4.675094965013524,-0.2892648054833509,-0.16361804922253198,-0.5113523567736753,0.23934111238177194,-0.0020153764536547233,0.07342442807574814,0.38636036868409934,-1.006571321713096,0.03176764896312895,-0.21239173400696312
Assam,Hailakandi,18019.0,7,"Middle development, weak women's agency",0.5251338123791034,1,6.909167947834786,-0.20675163283999684,0.010575204422672457,-1.0959259625323279,-0.13338259899485974,-0.3147167753947066,-0.5871486423424511,-0.03914458736269769,-0.7812388107623317,-2.582727547350547,-0.113687592784531
Assam,Hojai,,7,"Middle development, weak women's agency",0.4957589714435058,0,7.24841922697192,-1.6668354353848438,-0.13683819858905738,-0.13212766145945126,-0.267286500131635,-0.2905438894289038,-0.10776031773440842,0.38776127692511575,-0.23262096325792792,0.05991384072845518,-0.47043880477660566
Assam,Jorhat,18013.0,7,"Middle development, weak women's agency",0.5472981929659047,1,5.627174748379636,-0.4428022715106192,0.5664568382493771,-0.3536668781697043,-0.002411481698326101,-0.5938734059509889,0.21035541318288362,0.03291272743451521,-0.40850981708690526,-0.18986725209581756,-0.3499003120789569
Assam,Kamrup,18022.0,7,"Middle development, weak women's agency",0.5018776441796813,0,5.189551851113143,-0.5805154256178285,0.1558504639055978,-0.20149566718968978,-0.5955027158221223,-0.18432292757821214,-0.11681376644567382,-0.46994201054922696,-0.06398031109664085,-0.22167259833761174,-0.9832699300221733
Assam,Kamrup Metropolitan,18023.0,7,"Middle development, weak women's agency",0.5423008528057629,1,7.807788754025726,-1.3894529223187342,0.5598637534287518,0.9034290930897584,-0.193249019999332,0.007144045376072527,0.00014477405514362607,0.2515349597392242,-0.050777839013848414,-0.646058890036709,-0.1911451125402446
Assam,Karbi Anglong,18015.0,1,"Low development, high tobacco & alcohol use and weak maternal care",0.5215994636543398,1,5.5971452490973705,-0.8978744911617409,-0.2132711653238749,-0.43267370338056915,-0.5085478981943953,-0.010928864587781495,0.6734812132619415,-0.21334870183098764,-1.6504260186262927,-0.7601926974093545,0.05687253849953091
Assam,Karimganj,18018.0,7,"Middle development, weak women's agency",0.5634455590931304,2,6.7507025218608545,-0.17068222260982852,-0.0911991323054222,-1.500023647059403,-0.2884890218354145,0.4218043782379472,-0.05084081489004052,-0.008557478855334569,-0.5348781229877797,-2.30589281253028,-0.0719379967835482
