child_health_immunisation,education,energy,maternal_health,ncd,nutrition,population_household,tobacco_alcohol,wash,women_empowerment
0.4768780150972531,0.166491108195012,0.502667048307235,0.44610236788684077,0.5472557666411061,0.4694905395209026,0.3988187215469992,0.7467111996728736,0.6098476541446712,0.30886351200343143
0.5410352418258841,0.4074110849006262,0.5960775031600316,0.5167499479602307,0.4840275460661604,0.45486243070160065,0.4904065917101224,0.8017847400010558,0.5870477414296954,0.44785639216961837
0.5368807891417576,0.055812324762687306,0.44834803232796855,0.5418737548461654,0.6145095166267093,0.4833788389884021,0.240086648518836,0.7561304974682737,0.6098476541446712,0.3878300146695522
0.5043472512688814,0.3857540899573777,0.5816428682442285,0.46954061059739716,0.5701242041521939,0.4095676178309831,0.3989772948139522,0.7635368844589046,0.6190069590602248,0.37226368000298604
0.8006379264444139,0.4397006194585403,0.609368451194128,0.7446844112020052,0.5155485016704512,0.46001242239137835,0.7304381465402218,0.7335057402120294,0.872330762755364,0.9254162649149444
0.6850157024872601,0.3773831634946713,0.5490188706923653,0.605011647191332,0.5553828412992647,0.5481372522895037,0.6414300685463173,0.6643417059181891,0.7762782833824655,0.6885154676326488
0.7095042189873142,0.24672022680320221,0.45266432242358684,0.672762823858909,0.45665772910289437,0.6023372036451488,0.5539891582275136,0.4295877630677205,0.47764399285819736,0.5695506927504417
0.4886011957199959,0.22732316683934778,0.5340674431321796,0.5797537773216729,0.5536450036695154,0.5027439092272227,0.6016902026809361,0.3528744959160833,0.6245581256813606,0.6116659303115813
0.8609485828569915,0.28972516927448355,0.5252327122018872,0.7302087459315714,0.48384336529351024,0.5487692551515255,0.6179829207603137,0.717944837381292,0.8374554734837362,0.7773344797109782
0.6761414456982557,0.05653049332799232,0.23211930322873836,0.589408540256628,0.6335419431855883,0.533230243249707,0.5978295157471456,0.12052003638628454,0.4310695109563198,0.5497814156728028
0.49021704886791995,0.35349260539718624,0.6365741333685523,0.5514312065933881,0.47518117131207466,0.5473401560706562,0.6234939184841096,0.6790157711605931,0.7745715185666946,0.5953907586369066
0.7154179505256989,0.11645394860059097,0.5313090031275766,0.6972447627904063,0.5898449789426002,0.5584347386601409,0.7347918661375828,0.2875206259913012,0.6326496573445872,0.6968773044699321
0.7495779287076331,0.4406205893901537,0.5998539877979369,0.7132881439456488,0.5081595046151158,0.549241194030458,0.7808090134060843,0.6790475562977898,0.91551197453466,0.887379524160566
0.7170751711530841,0.4951118108827066,0.8583530363558114,0.713289492299412,0.5173764704877112,0.48287680442313324,0.6020027172415003,0.7317962701718241,0.9058552116286634,0.8592703252358127
0.745178611367182,0.3029091769431599,0.492174945981946,0.6684487345627813,0.5583910004173299,0.5566862052155074,0.6747845474591848,0.626604956192385,0.8172708735672323,0.7736722246216963
0.7273177973569657,0.3676263476131866,0.5551968343809147,0.6554747256329492,0.5159919170118562,0.5359947375353405,0.5902884450317756,0.685819611137006,0.8045013398723206,0.7342263754991417
0.8681816601218444,0.34583173710932247,0.4674661993588409,0.6235260175317114,0.41345652849911196,0.528009182780227,0.6570465758498539,0.4306203375239057,0.6549011274641849,0.6468582899328613
0.875202651342176,0.24116819103047504,0.5563653863113625,0.7406168041001294,0.5174592880500115,0.5434923882918595,0.5996412734205205,0.6954965659443026,0.8249710974197666,0.7974045910408121
0.595302222553621,0.15937429181707227,0.45041024253899553,0.6723073886716854,0.5887829888811503,0.5239702559477721,0.6509874840663147,0.4156132835758123,0.829452400303635,0.7580902918454395
0.6199530504329084,0.4184541876857526,0.5816490845064138,0.5280434286092878,0.484613139108295,0.4671019576134445,0.6186334358758124,0.6331539335872705,0.579088413582606,0.5707756608253075
0.7564743698202151,0.3480914364640352,0.5439202186957738,0.7101764590250589,0.39924745339449913,0.5180180856030226,0.5957611686686077,0.5968000052209347,0.6443909821503029,0.6326797146066456
0.7136930322756337,0.3247230750414647,0.5631214097029508,0.7041401342079692,0.6315523995428443,0.5902980380614472,0.7169747707018742,0.6231912375320001,0.8670668442501105,0.7413620812184862
0.7622284106246193,0.2507144968453205,0.548603750810843,0.6999694217381415,0.44717060593781455,0.5130840021188318,0.6401493655480998,0.7237292376881832,0.8293816335171347,0.6727154787191183
0.6985786793089167,0.14753304453917176,0.31234669907248386,0.6769142260068907,0.6173830989584891,0.5707944342407402,0.6755021055445719,0.29954928476830195,0.5153978798927331,0.696812251235443
0.8220083162822073,0.3790368992122449,0.5731402332191539,0.684574337014141,0.4432030516217591,0.5306363863371325,0.6122269072895229,0.6279940081254158,0.7080908455970393,0.7163610648731388
0.6006411109415701,0.4276791226766089,0.7637833539658451,0.7210424379352837,0.6289525854160887,0.5692525826628261,0.6613743003681989,0.7055253826243926,0.8763499910420398,0.7651424462656851
0.866897842098211,0.38827146386412986,0.5658798497075537,0.7704095075005973,0.4754431934676219,0.5178175896447388,0.6981411676153725,0.6224763864726341,0.8270514783496047,0.8095468899404807
0.6116091044902241,0.008866745525887369,0.4673831753825363,0.6917751548345665,0.7031478625473889,0.5481066662576327,0.575121242736618,0.14821330821175538,0.45162772698689113,0.676255738609155
0.7187050055398192,0.2589472027483509,0.5324899875823947,0.629133144793403,0.46147153886614556,0.5298177481483641,0.594663427617767,0.5334571690737228,0.6104065491647512,0.6124768125087866
0.7730086460761846,0.32149716149662744,0.5489358467160608,0.7080306063303093,0.384151672325244,0.5298903241326155,0.6841959689385396,0.4850370990967159,0.7708176657293955,0.5767909918462204
0.8005140330623697,0.37284285912084936,0.5593697901137866,0.7631330444223813,0.4900580574472844,0.5059076384205751,0.7804300605571011,0.6480019688651355,0.8362461666584085,0.8732628398120253
0.8645873106698214,0.3212678521709157,0.8489215969359247,0.7601641006909309,0.5854192202956157,0.40517650830120955,0.5513019648843661,0.7549166693008775,0.6498297271368672,0.7009675094425359
0.5973350644964636,0.5377282705574281,0.9484145589765958,0.6162307652741654,0.542632503237901,0.45170769421696716,0.5021910795913479,0.7534107757279118,0.6963537017612045,0.5428467310542461
0.8932788556280268,0.5346189735549733,0.9199541927643264,0.7580221946108299,0.4846281767378571,0.5312348680745537,0.8222042349557815,0.7944829593949952,0.9219675081686164,0.8100156443798175
0.6720386798358832,0.7522769985845594,0.9865616527998505,0.749019341225146,0.3597879468904948,0.650363390348447,0.7044835701116591,0.782449984982531,0.8866124526031705,0.7569192039638873
0.8269635129296122,0.7636043305188801,0.983640272973731,0.7535801821302709,0.37232316859196035,0.5793758693857557,0.7162515276910245,0.7405125456592052,0.9014977506211705,0.8046944968444685
0.5221950128777487,0.47702083095554354,0.9343919358112224,0.6846885088722787,0.4558755121097691,0.5122201751719769,0.6110434525602564,0.871107481984259,0.8834642984210054,0.7421642056582445
0.5611018299834223,0.3824037217622145,0.7958355080768547,0.7411236468557945,0.5480449475300243,0.49650451652537697,0.6627027703177694,0.802531122981012,0.7677402783337306,0.6883845174578126
0.66058978853702,0.3928951584014297,0.7568488500972775,0.6844499354011145,0.3884136741388646,0.489243322542727,0.5166799248269873,0.85218286591317,0.8611441519998475,0.5383019771181127
0.5605837136654428,0.309592410833812,0.6225421858099011,0.6404185429352893,0.49420794646028193,0.4639651738081674,0.5969391337726329,0.8015092746838557,0.6401531820493049,0.5898089698107182
