state,district,census_code,composite_score,composite_group,domain_score,domain_group,state_group,region,region_group
Haryana,Palwal,6021.0,0.589103959861114,3,0.5985890434832623,3,9,North,2
Haryana,Panchkula,6001.0,0.6715595403797427,7,0.704108812670463,7,9,North,2
Haryana,Panipat,6007.0,0.6136054314641359,4,0.6495301833281263,5,9,North,2
Haryana,Rewari,6017.0,0.651854115314847,6,0.6708179350142616,6,9,North,2
Haryana,Rohtak,6014.0,0.6432999282704613,6,0.6745954826079175,6,9,North,2
Haryana,Sirsa,6011.0,0.6180905332499609,4,0.6317203708020026,4,9,North,2
Haryana,Sonipat,6008.0,0.643564758826162,6,0.669961273936578,6,9,North,2
Haryana,Yamunanagar,6003.0,0.6336475291191307,5,0.6821260330609998,6,9,North,2
Himachal Pradesh,Bilaspur,2008.0,0.6884515394877236,7,0.688024858913515,6,10,North,2
Himachal Pradesh,Chamba,2001.0,0.6941952885423471,7,0.6746375844262341,6,10,North,2
Himachal Pradesh,Hamirpur,2006.0,0.6099047333749509,4,0.6661511519786293,6,10,North,2
Himachal Pradesh,Kangra,2002.0,0.6274784395330102,5,0.6556444544895659,5,10,North,2
Himachal Pradesh,Kinnaur,2012.0,0.6916795685066438,7,0.6892540129373287,6,10,North,2
Himachal Pradesh,Kullu,2004.0,0.7007952233880164,7,0.7034005684625212,7,10,North,2
Himachal Pradesh,Lahul and Spiti,2003.0,0.6999303134548227,7,0.6874292983551487,6,10,North,2
Himachal Pradesh,Mandi,2005.0,0.7049913264960624,7,0.7073338440431016,7,10,North,2
Himachal Pradesh,Shimla,2011.0,0.7260626531242378,7,0.7411298855083166,7,10,North,2
Himachal Pradesh,Sirmaur,2010.0,0.7232282643379088,7,0.7077423389225783,7,10,North,2
Himachal Pradesh,Solan,2009.0,0.7016433403797537,7,0.71136615954188,7,10,North,2
Himachal Pradesh,Una,2007.0,0.5961232444868116,3,0.6356624754164878,5,10,North,2
Jammu Kashmir,Anantnag,1014.0,0.6538426862441498,6,0.6766478260260966,6,11,North,2
Jammu Kashmir,Badgam,1002.0,0.6705047263195352,7,0.6689645621031077,6,11,North,2
Jammu Kashmir,Bandipore,1009.0,0.6093950728107065,4,0.6104463403537148,4,11,North,2
Jammu Kashmir,Baramula,1008.0,0.5860891053989866,3,0.6094093668445302,4,11,North,2
Jammu Kashmir,Doda,1016.0,0.5601382202342384,2,0.5771393242746694,2,11,North,2
Jammu Kashmir,Ganderbal,1011.0,0.6156180406859235,4,0.6296785991501105,4,11,North,2
Jammu Kashmir,Jammu,1021.0,0.6820757209092189,7,0.7108238418921449,7,11,North,2
Jammu Kashmir,Kathua,1007.0,0.6766942917651279,7,0.6887798804835655,6,11,North,2
Jammu Kashmir,Kishtwar,1018.0,0.6377669555359491,5,0.5878565723963043,3,11,North,2
Jammu Kashmir,Kulgam,1015.0,0.6803562664144548,7,0.6640538340912089,6,11,North,2
Jammu Kashmir,Kupwara,1001.0,0.6559997641877434,6,0.6396933630645332,5,11,North,2
Jammu Kashmir,Pulwama,1012.0,0.6592939526135492,6,0.67389169020212,6,11,North,2
Jammu Kashmir,Punch,1005.0,0.6651183483437413,6,0.6344544127148298,4,11,North,2
Jammu Kashmir,Rajouri,1006.0,0.6312659493581732,5,0.6009903819132805,3,11,North,2
Jammu Kashmir,Ramban,1017.0,0.6123478602808035,4,0.5586575838415645,2,11,North,2
Jammu Kashmir,Reasi,1020.0,0.5946484721103774,3,0.5666725583652801,2,11,North,2
Jammu Kashmir,Samba,1022.0,0.6480853208768629,6,0.6608993905406114,6,11,North,2
Jammu Kashmir,Shupiyan,1013.0,0.6974771003573876,7,0.700819896238398,7,11,North,2
Jammu Kashmir,Srinagar,1010.0,0.7063140947199467,7,0.729472861754475,7,11,North,2
Jammu Kashmir,Udhampur,1019.0,0.607742250818872,4,0.5933611112301824,3,11,North,2
Jharkhand,Bokaro,20010.0,0.5508386668623246,1,0.5497554281406667,2,12,East,1
Jharkhand,Chatra,20002.0,0.5063817365684526,0,0.45764964022714094,0,12,East,1
Jharkhand,Deoghar,20005.0,0.462601006745168,0,0.44322477068059135,0,12,East,1
Jharkhand,Dhanbad,20009.0,0.5316050793444621,1,0.5360514036340078,1,12,East,1
Jharkhand,Dumka,20017.0,0.5125131045123854,0,0.46095518744875796,0,12,East,1
Jharkhand,Garhwa,20001.0,0.5127357461516312,0,0.4760371183242347,0,12,East,1
Jharkhand,Giridih,20004.0,0.5067539041017933,0,0.49581455819782383,0,12,East,1
Jharkhand,Godda,20006.0,0.5107224686960662,0,0.47611872455956467,0,12,East,1
Jharkhand,Gumla,20021.0,0.5889571828866778,3,0.48694214668743996,0,12,East,1
Jharkhand,Hazaribagh,20015.0,0.5290502917949998,1,0.5181478594550859,1,12,East,1
Jharkhand,Jamtara,20018.0,0.5375374071573068,1,0.49509843860401564,0,12,East,1
Jharkhand,Khunti,20020.0,0.5511237895829644,2,0.46332277660658594,0,12,East,1
Jharkhand,Kodarma,20003.0,0.550768549203547,1,0.530708217997332,1,12,East,1
Jharkhand,Latehar,20014.0,0.5596472793810376,2,0.47135941810901477,0,12,East,1
Jharkhand,Lohardaga,20011.0,0.6165784713759043,4,0.5651651811118643,2,12,East,1
Jharkhand,Pakur,20008.0,0.47839343590942807,0,0.4320289821375754,0,12,East,1
Jharkhand,Palamu,20013.0,0.5525409638784444,2,0.5250260432631174,1,12,East,1
Jharkhand,Pashchimi Singhbhum,20023.0,0.5194224895418925,1,0.40861576284405976,0,12,East,1
Jharkhand,Purbi Singhbhum,20012.0,0.616579225856088,4,0.6087306080832307,4,12,East,1
Jharkhand,Ramgarh,20016.0,0.5745180989667685,2,0.5401879091741635,1,12,East,1
Jharkhand,Ranchi,20019.0,0.5981788579122136,3,0.5993781419851578,3,12,East,1
Jharkhand,Sahibganj,20007.0,0.4915194029001076,0,0.4438310953209756,0,12,East,1
Jharkhand,Saraikela-Kharsawan,,0.616462481401611,4,0.560266889456974,2,12,East,1
Jharkhand,Simdega,20022.0,0.5447764826530025,1,0.45822241938558694,0,12,East,1
Karnataka,Bagalkot,29002.0,0.5887594565885141,3,0.5854487749367622,3,13,South,4
Karnataka,Bangalore,29018.0,0.6300811667553162,5,0.7162969377882091,7,13,South,4
Karnataka,Bangalore Rural,29029.0,0.6815763663272233,7,0.726046297719561,7,13,South,4
Karnataka,Belgaum,29001.0,0.6363872598128987,5,0.6578097010781512,5,13,South,4
Karnataka,Bellary,29011.0,0.6190115409469475,5,0.6381564521189028,5,13,South,4
Karnataka,Bidar,29004.0,0.6136199347128892,4,0.6235796365079991,4,13,South,4
Karnataka,Bijapur,29003.0,0.574116659112425,2,0.5807710952767644,3,13,South,4
Karnataka,Chamarajanagar,29024.0,0.6631766507698592,6,0.6986032065373066,7,13,South,4
Karnataka,Chikkaballapura,29028.0,0.6497969279950385,6,0.6948692956857296,7,13,South,4
Karnataka,Chikmagalur,29016.0,0.6499623524725815,6,0.6900514580556404,7,13,South,4
Karnataka,Chitradurga,29012.0,0.656190652951112,6,0.6827226064640088,6,13,South,4
Karnataka,Dakshina Kannada,29021.0,0.6577802952461034,6,0.7153633199866596,7,13,South,4
Karnataka,Davanagere,29013.0,0.5585972364013564,2,0.6208323476831101,4,13,South,4
Karnataka,Dharwad,29008.0,0.6487172414165195,6,0.6751243920191621,6,13,South,4
Karnataka,Gadag,29007.0,0.577983474830983,3,0.5927186681391923,3,13,South,4
Karnataka,Gulbarga,29025.0,0.5829106810601363,3,0.5800722697213738,3,13,South,4
Karnataka,Hassan,29020.0,0.6633537371246797,6,0.7047433181946063,7,13,South,4
Karnataka,Haveri,29010.0,0.6035687630095949,4,0.6214916338290948,4,13,South,4
Karnataka,Kodagu,29022.0,0.6315701594035719,5,0.688113511622848,6,13,South,4
Karnataka,Kolar,29027.0,0.6591595923385196,6,0.7075018265826127,7,13,South,4
