child_stunted,child_wasted,child_severely_wasted,child_underweight,child_overweight,children_anaemic,women_15_19_anaemic,women_15_49_anaemic,nonpregnant_women_anaemic
36.2,19.7,9.5,32.3,3.0,66.5,68.2,68.8,69.0
42.2,17.2,3.9,39.8,1.2999999999999998,62.6,55.7,56.0,55.9
41.7,17.7,6.2,36.9,1.9,73.9,67.2,70.2,70.1
27.0,14.0,5.2,25.1,4.1,66.5,69.9,63.8,64.6
38.2,27.8,11.0,44.9,2.0,75.1,74.1,73.4,74.2
47.7,18.9,5.3,40.6,0.5,62.5,61.0,62.7,62.9
31.9,27.8,14.5,34.3,5.4,62.8,63.8,64.7,65.2
39.4,24.5,11.2,40.7,4.7,75.1,62.0,66.3,66.3
40.2,20.1,8.7,38.7,4.1,65.8,61.3,59.5,59.9
37.8,16.2,5.9,32.5,1.4,62.1,54.1,56.1,56.2
41.9,23.0,9.9,46.2,4.3,72.8,77.4,77.7,78.4
38.5,32.1,16.8,44.0,6.1,66.9,71.5,70.0,70.9
34.6,18.0,5.0,31.7,2.5,60.0,61.2,64.9,65.1
40.1,19.2,5.2,39.4,1.7999999999999998,68.3,62.2,63.6,63.8
40.7,26.6,10.0,43.4,1.7999999999999998,68.7,59.4,61.7,62.1
51.3,23.6,5.9,51.39999999999999,1.9,72.1,78.0,79.7,80.4
43.7,18.4,3.9,37.3,0.6000000000000005,68.2,63.3,61.0,61.1
60.6,30.5,12.9,62.400000000000006,2.8,73.3,74.2,72.6,72.5
35.9,29.4,16.8,41.6,1.2999999999999998,67.4,69.4,64.4,65.1
35.3,23.5,7.2,35.3,1.0,59.7,66.7,62.3,62.3
28.3,32.7,16.8,40.6,4.3,62.8,61.7,58.9,59.3
49.1,19.7,5.8,44.8,2.6000000000000005,72.6,67.6,71.5,72.1
40.0,32.9,23.0,48.7,9.0,76.1,74.9,70.2,71.2
42.2,21.1,7.7,37.0,2.8,75.4,69.5,70.6,71.0
48.3,16.9,4.4,42.3,2.3999999999999995,63.8,50.7,48.0,47.9
